Time,Throughput_1(Kbps),LossRate_1(%),AvgDelay_1(ms),Jitter_1(ms),TxPackets_1,RxPackets_1,RxBytes_1,LostPackets_1,Throughput_2(Kbps),LossRate_2(%),AvgDelay_2(ms),Jitter_2(ms),TxPackets_2,RxPackets_2,RxBytes_2,LostPackets_2,Throughput_3(Kbps),LossRate_3(%),AvgDelay_3(ms),Jitter_3(ms),TxPackets_3,RxPackets_3,RxBytes_3,LostPackets_3,Throughput_4(Kbps),LossRate_4(%),AvgDelay_4(ms),Jitter_4(ms),TxPackets_4,RxPackets_4,RxBytes_4,LostPackets_4,Throughput_5(Kbps),LossRate_5(%),AvgDelay_5(ms),Jitter_5(ms),TxPackets_5,RxPackets_5,RxBytes_5,LostPackets_5,Throughput_6(Kbps),LossRate_6(%),AvgDelay_6(ms),Jitter_6(ms),TxPackets_6,RxPackets_6,RxBytes_6,LostPackets_6,Throughput_7(Kbps),LossRate_7(%),AvgDelay_7(ms),Jitter_7(ms),TxPackets_7,RxPackets_7,RxBytes_7,LostPackets_7
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
