Time,Throughput_1(Kbps),LossRate_1(%),AvgRTT_1(ms),Jitter_1(ms),Throughput_2(Kbps),LossRate_2(%),AvgRTT_2(ms),Jitter_2(ms),Throughput_3(Kbps),LossRate_3(%),AvgRTT_3(ms),Jitter_3(ms),Throughput_4(Kbps),LossRate_4(%),AvgRTT_4(ms),Jitter_4(ms)
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.1,484.906,19.1781,70.4782,0,583.531,2.73973,20.8593,0,468.469,21.9178,84.0641,0,591.75,1.36986,2.04918,0
6.1,517.781,0,112.102,41.6234,419.156,0,17.8815,2.97778,534.219,0,153.432,69.3682,410.938,0,1.95532,0.0938591
7.1,460.25,8.71795,99.0661,13.0356,583.531,1.02564,16.4571,1.42438,427.375,10.7692,130.708,22.7242,599.969,0,1.92156,0.0337597
8.1,542.438,0,127.468,28.4017,419.156,0,16.4144,0.0427042,575.312,0,165.926,35.2183,402.719,0,1.92381,0.00224979
9.1,493.125,4.10095,115.488,11.98,583.531,0.630915,16.062,0.352415,476.688,4.73186,148.331,17.5956,599.969,0,1.93023,0.00642324
10.1,509.562,0,126.678,11.1904,419.156,0,17.266,1.20404,526,0,159.758,11.4273,402.719,0,1.91549,0.0147378
11.1,501.344,2.73349,118.486,8.19177,583.531,0.455581,16.8544,0.411621,468.469,3.64465,148.908,10.8505,599.969,0,1.98145,0.0659537
12.1,501.344,0,125.382,6.89595,419.156,0,16.613,0.241377,534.219,0,159.331,10.4238,402.719,0,1.96707,0.0143799
13.1,583.531,0.356506,111.507,13.8757,575.312,0.534759,16.2742,0.338753,550.656,1.06952,143.572,15.7595,599.969,0,1.93396,0.0331123
14.1,419.156,0,103.481,8.02575,427.375,0,17.0996,0.82535,452.031,0,135.269,8.30272,402.719,0,1.91946,0.0145
15.1,591.75,0.146413,93.9738,9.50707,575.312,0.439239,17.0869,0.0126872,558.875,0.732064,123.887,11.3825,599.969,0,1.89302,0.026436
16.1,410.938,0,88.5315,5.44231,427.375,0,17.1148,0.0279302,443.812,0,118.442,5.44453,402.719,0,1.87828,0.0147372
17.1,583.531,0.248447,81.8989,6.63255,583.531,0.248447,16.9068,0.208071,550.656,0.745342,110.786,7.6563,599.969,0,1.85671,0.0215739
18.1,419.156,0,77.8128,4.0861,419.156,0,16.8972,0.00952602,452.031,0,107.235,3.55103,402.719,0,1.85243,0.00427534
19.1,501.344,0,73.5258,4.28705,501.344,0,16.8085,0.0887473,501.344,0,101.646,5.58862,501.344,0,1.83993,0.0125083
